short_ticker,iso,entity,frequency,currency,transformation,scale,source,description,first_date,last_date,last_insert_timestamp
RPRCFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,Real private consumption,1980-01-01,2023-10-01,2024-02-13 05:48:12.258800
RPUCFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,Real public consumption,1980-01-01,2023-10-01,2024-02-13 05:48:03.937192
RCONFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,Real total consumption,1980-01-01,2023-10-01,2024-02-13 05:49:26.560200
RGCFFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross capital formation,1980-01-01,2023-10-01,2024-02-13 05:49:20.651099
RGFCFFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross fixed capital formation,1980-01-01,2023-10-01,2024-02-13 05:47:55.501008
REXPFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,Real exports of goods and services,1980-01-01,2023-10-01,2024-02-13 05:47:38.555685
RIMPFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,Real imports of goods and services,1980-01-01,2023-10-01,2024-02-13 05:47:47.053120
NYFR,FR,France,M,DOMESTIC,Period level,Milions,Eurostat,Net income from abroad (Primary Income),2008-01-01,2024-01-01,2024-03-21 06:14:08.422635
NCTFR,FR,France,M,DOMESTIC,Period level,Milions,Eurostat,Net current transfers (Secondary Income),2008-01-01,2024-01-01,2024-03-21 06:14:08.809208
KAFR,FR,France,M,DOMESTIC,Period level,Milions,Eurostat,Capital account,2008-01-01,2024-01-01,2024-03-21 06:14:05.711386
CKAFR,FR,France,M,DOMESTIC,Period level,Milions,Eurostat,Net foreign investment,2008-01-01,2024-01-01,2024-03-21 06:14:06.573541
IIPAFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Assets,1999-01-01,2022-07-01,2023-01-26 12:17:08.789196
IIPLFR,FR,France,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Liabilities,1999-01-01,2022-07-01,2023-01-26 12:17:08.962715
CLIFR,FR,France,M,INDEX,Period level,Units,OECD,OECD CLI,1960-02-01,2023-12-01,2024-01-13 00:40:31.146575
EXPMONFR,FR,France,M,DOMESTIC,Period level,Milions,Eurostat,Monthly exports,2008-01-01,2024-01-01,2024-03-21 06:14:07.062687
IMPMONFR,FR,France,M,DOMESTIC,Period level,Milions,Eurostat,Monthly imports,2008-01-01,2024-01-01,2024-03-21 06:14:07.447169
OILDEMFR,FR,France,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2024-01-01,2024-03-18 15:43:02.290866
GASOPRODFR,FR,France,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2024-01-01,2024-03-18 15:43:43.034265
GASODEMFR,FR,France,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2024-01-01,2024-03-18 15:44:25.275192
GASPRODFR,FR,France,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2010-01-01,2024-01-01,2024-03-18 15:15:49.115266
GASDEMFR,FR,France,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas demand,2010-01-01,2024-01-01,2024-03-18 15:15:48.796301
ACPOPFR,FR,France,Q,PERSONS,Period level,Thousands,Eurostat,Active population,2003-01-01,2023-07-01,2023-12-15 05:35:43.389048
COREFR,FR,France,M,INDEX,Period level,Units,Eurostat,Core consumer price index,1996-01-01,2024-03-01,2024-04-03 09:49:22.595685
GDPID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Gross domestic product,2010-01-01,2023-10-01,2024-02-05 18:30:13.114753
PRCID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Private consumption,2010-01-01,2023-10-01,2024-02-26 18:32:49.749500
PUCID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Public consumption,2010-01-01,2023-10-01,2024-02-26 18:32:49.223866
GFCFID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Gross fixed capital formation,2010-01-01,2023-10-01,2024-02-26 18:32:49.452813
CIID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Change in inventories,2010-01-01,2023-10-01,2024-02-26 18:32:48.993264
RGDPID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Real gross domestic product,2010-01-01,2023-10-01,2024-02-05 18:30:13.181659
CPIID,ID,Indonesia,M,INDEX,Period level,Units,Bank Indonesia,Consumer price index,1968-01-01,2024-03-01,2024-04-01 18:30:11.818246
PPIID,ID,Indonesia,M,INDEX,Period level,Units,Bank Indonesia,Producer price index,1997-01-01,2024-03-01,2024-04-01 18:32:23.205443
GBALID,ID,Indonesia,M,DOMESTIC,Period level,Billions,Bank Indonesia,Government balance,1990-01-01,2024-02-01,2024-03-28 18:33:43.530429
GSPEID,ID,Indonesia,M,DOMESTIC,Period level,Billions,Bank Indonesia,General government total expenditure,1990-01-01,2024-02-01,2024-03-28 18:33:44.842720
GREVID,ID,Indonesia,M,DOMESTIC,Period level,Billions,Bank Indonesia,General government total revenue,1990-01-01,2024-02-01,2024-03-28 18:33:44.202425
GDEBTID,ID,Indonesia,Y,DOMESTIC,Period level,Billions,Bank Indonesia,Government debt,1990-01-01,2022-01-01,2023-10-17 18:32:36.323025
URATEID,ID,Indonesia,M,PERCENT,Period level,Units,Bank Indonesia,Unemployment,1999-01-01,2023-08-01,2023-11-07 18:32:55.630877
EMPID,ID,Indonesia,M,PERSONS,Period level,Thousands,,Total employment,2020-02-01,2023-08-01,2023-11-07 18:30:12.501197
RETAID,ID,Indonesia,M,INDEX,Period level,Units,Bank Indonesia,Retail trade,2010-01-01,2024-02-01,2024-03-14 18:33:24.816811
IPID,ID,Indonesia,M,INDEX,Period level,Units,Bank Indonesia,Industrial production,1993-01-01,2023-12-01,2024-02-29 18:30:15.335925
CONFID,ID,Indonesia,M,INDEX,Period level,Units,Bank Indonesia,Consumer confidence index,2012-01-01,2024-02-01,2024-03-13 18:33:11.082896
OILPRODID,ID,Indonesia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2024-01-01,2024-03-18 15:42:27.924680
EXPID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Exports of goods and services,2010-01-01,2023-10-01,2024-02-26 18:32:49.109482
IMPID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Imports of goods and services,2010-01-01,2023-10-01,2024-02-26 18:32:49.634807
CAID,ID,Indonesia,Q,USD,Period level,Milions,Bank Indonesia,Current account balance,2010-01-01,2023-10-01,2024-02-23 18:30:13.168447
POPID,ID,Indonesia,Y,PERSONS,Period level,Units,World Bank,Population,1960-01-01,2023-01-01,2023-06-27 18:30:13.424995
HOUID,ID,Indonesia,Q,INDEX,Period level,Units,Bank for International Settlements,House price,2002-01-01,2023-10-01,2024-03-21 04:10:34.343229
NIIPID,ID,Indonesia,Q,USD,Period level,Milions,Bank Indonesia,Net international investment position,2010-10-01,2023-10-01,2024-03-20 18:32:36.837963
NPLID,ID,Indonesia,Q,PERCENT,Period level,Units,International Monetary Fund,Non performing loans,2011-04-01,2020-01-01,2020-06-16 22:15:12.808751
Y10YDID,ID,Indonesia,D,PERCENT,Period level,Units,Indonesia Stock Exchange,Long term yield,2021-01-07,2024-04-05,2024-04-05 17:05:22.134615
M3YDID,ID,Indonesia,D,PERCENT,Period level,Units,Bank Indonesia,3 month yield,2008-02-01,2023-11-01,2023-11-01 17:05:56.954412
POLIRID,ID,Indonesia,M,PERCENT,Period level,Units,Bank for International Settlements,Policy rate - short term,2005-07-01,2024-02-01,2024-03-15 04:07:03.504828
USDIDR,ID,Indonesia,D,DOMESTIC,Period level,Units,,Exchange rate v dollar,2000-01-31,2024-03-31,2024-04-01 09:40:43.880530
SEIID,ID,Indonesia,M,INDEX,Period level,Units,International Monetary Fund,Stock exchange index,1997-07-01,2019-02-01,2019-10-30 02:12:35.007123
REERID,ID,Indonesia,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:13:42.679473
M3ID,ID,Indonesia,M,DOMESTIC,Period level,Billions,Bank Indonesia,Money supply,2010-01-01,2024-02-01,2024-03-28 18:30:10.542318
CREDID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank for International Settlements,Domestic credit,2001-10-01,2023-07-01,2024-03-05 03:59:45.703711
RPRCID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Real private consumption,2010-01-01,2023-10-01,2024-02-26 18:33:00.984821
RPUCID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Real public consumption,2010-01-01,2023-10-01,2024-02-26 18:33:00.511026
RGFCFID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Real gross fixed capital formation,2010-01-01,2023-10-01,2024-02-26 18:33:00.750049
REXPID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Real exports of goods and services,2010-01-01,2023-10-01,2024-02-26 18:33:00.391453
RIMPID,ID,Indonesia,Q,DOMESTIC,Period level,Billions,Bank Indonesia,Real imports of goods and services,2010-01-01,2023-10-01,2024-02-26 18:33:00.868800
IIPAID,ID,Indonesia,Q,USD,Period level,Milions,Bank Indonesia,International investment position: Assets,2010-10-01,2023-10-01,2024-03-20 18:32:36.650431
IIPLID,ID,Indonesia,Q,USD,Period level,Milions,Bank Indonesia,International investment position: Liabilities,2010-10-01,2023-10-01,2024-03-20 18:32:36.741250
CLIID,ID,Indonesia,M,INDEX,Period level,Units,OECD,OECD CLI,1990-02-01,2023-12-01,2024-01-13 00:40:34.389586
EXPMONID,ID,Indonesia,M,USD,Period level,Milions,Bank Indonesia,Monthly exports,1993-01-01,2024-02-01,2024-03-15 18:33:34.570065
IMPMONID,ID,Indonesia,M,USD,Period level,Milions,Bank Indonesia,Monthly imports,1993-01-01,2024-02-01,2024-03-15 18:33:35.391552
OILDEMID,ID,Indonesia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2024-01-01,2024-03-18 15:43:05.807863
GASOPRODID,ID,Indonesia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2024-01-01,2024-03-18 15:43:46.343800
GASODEMID,ID,Indonesia,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2024-01-01,2024-03-18 15:44:30.922605
GASPRODID,ID,Indonesia,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2009-01-01,2024-01-01,2024-03-18 15:15:53.447407
GASDEMID,ID,Indonesia,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas demand,2009-01-01,2024-01-01,2024-03-18 15:15:53.008217
GDPIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Gross domestic product,1995-01-01,2023-10-01,2024-03-07 05:50:32.897684
PRCIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Private consumption,1995-01-01,2023-10-01,2024-03-07 05:51:51.155084
PUCIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Public consumption,1995-01-01,2023-10-01,2024-03-07 05:51:42.695730
CONIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Total consumption,1995-01-01,2023-10-01,2024-03-07 05:52:06.844689
GCFIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Gross capital formation,1995-01-01,2023-10-01,2024-03-07 05:52:12.892791
GFCFIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Gross fixed capital formation,1995-01-01,2023-10-01,2024-03-07 05:51:34.188254
CIIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Change in inventories,1995-01-01,2023-10-01,2024-03-07 05:52:18.916404
CBALIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Commercial balance (goods + services),1995-01-01,2023-10-01,2024-03-07 05:52:45.190424
RGDPIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross domestic product,1995-01-01,2023-10-01,2024-02-13 05:47:22.879941
GDPPCIT,IT,Italy,Y,DOMESTIC,Period level,Units,Eurostat,GDP per capita,1995-01-01,2023-01-01,2024-03-30 05:35:15.193625
CPIIT,IT,Italy,M,INDEX,Period level,Units,"National Institute of Statistics, Italy",Consumer price index,2016-01-01,2024-03-01,2024-03-30 02:18:14.438618
PPIIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Producer price index,2000-01-01,2024-02-01,2024-04-01 21:06:11.347167
GBALIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Government balance,2016-01-01,2023-07-01,2024-01-22 11:20:15.550574
GDEBTIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Government debt,2000-01-01,2023-04-01,2023-10-24 12:35:36.024098
GDEBTNIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Government net debt,1995-01-01,2023-07-01,2024-01-22 11:19:28.561281
URATEIT,IT,Italy,M,PERCENT,Period level,Units,Eurostat,Unemployment,1983-01-01,2023-11-01,2024-01-09 12:36:23.668155
JVRIT,IT,Italy,Q,PERCENT,Period level,Units,Eurostat,Job vacancy rate,2017-07-01,2023-10-01,2024-02-19 12:35:14.313502
EMPIT,IT,Italy,Q,PERSONS,Period level,Thousands,Eurostat,Total employment,2009-01-01,2023-07-01,2023-12-15 05:35:45.540132
EMRATIOIT,IT,Italy,Q,PERCENT,Period level,Units,Eurostat,Employment to working age population,2009-01-01,2023-07-01,2023-12-15 05:35:45.677568
RETAIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Retail trade,2000-01-01,2024-01-01,2024-04-01 21:43:55.291802
IPIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Industrial production,1990-01-01,2024-01-01,2024-03-28 17:48:47.260574
CPIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Construction production,1995-01-01,2024-01-01,2024-04-01 22:41:15.573400
INVERIT,IT,Italy,Y,PERCENT,Period level,Units,Eurostat,Investment rate,2007-01-01,2022-01-01,2023-04-27 10:23:25.803080
SENTIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Sentiment index,1980-01-01,2024-03-01,2024-03-27 13:09:11.273691
CONFIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Consumer confidence index,1985-01-01,2024-03-01,2024-03-27 13:09:12.308658
UTILIT,IT,Italy,Q,PERCENT,Period level,Units,Eurostat,Utilization rate,1980-01-01,2024-01-01,2024-01-30 18:02:31.002545
NFCIIT,IT,Italy,Q,PERCENT,Period level,Units,Eurostat,Non-financial corporations investment rate,2016-04-01,2023-07-01,2024-01-22 06:05:54.628749
CARIT,IT,Italy,M,OTHER NUMBER,Period level,Units,European Automobile Manufacturers,Passenger car sales,1990-01-01,2022-12-01,2023-01-19 02:22:13.630287
ELEIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Production electricity,2001-01-01,2024-01-01,2024-04-01 23:33:26.698110
OILPRODIT,IT,Italy,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2024-01-01,2024-03-18 15:42:29.475929
EXPIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Exports of goods and services,1995-01-01,2023-10-01,2024-03-07 05:53:04.942203
IMPIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Imports of goods and services,1995-01-01,2023-10-01,2024-03-07 05:51:25.750039
CAIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Current account balance,1995-01-01,2024-01-01,2024-03-21 06:14:20.599315
POPIT,IT,Italy,Y,PERSONS,Period level,Units,Eurostat,Population,1960-01-01,2022-01-01,2023-02-10 23:02:07.904235
HHSIT,IT,Italy,Q,PERCENT,Period level,Units,Eurostat,Household saving,2016-04-01,2023-07-01,2024-01-22 06:05:33.998068
HHDIRIT,IT,Italy,Y,PERCENT,Period level,Units,Eurostat,Household debt to income ratio,2007-01-01,2022-01-01,2023-10-27 09:55:21.737820
HOUIT,IT,Italy,Q,INDEX,Period level,Units,Eurostat,House price,2010-01-01,2023-10-01,2024-04-04 09:35:06.610819
NIIPIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Net international investment position,1998-10-01,2022-07-01,2023-01-11 13:00:30.187341
NPLIT,IT,Italy,Q,PERCENT,Period level,Units,International Monetary Fund,Non performing loans,2005-10-01,2019-04-01,2019-10-30 02:12:44.729146
Y10YDIT,IT,Italy,M,PERCENT,Period level,Units,Eurostat,Long term yield,1980-01-01,2024-02-01,2024-03-13 12:35:18.842288
SEIIT,IT,Italy,M,INDEX,Period level,Units,International Monetary Fund,Stock exchange index,1957-01-01,2019-02-01,2019-10-30 02:12:48.702326
REERIT,IT,Italy,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:13:45.159617
CREDIT,IT,Italy,Q,DOMESTIC,Period level,Billions,Bank for International Settlements,Domestic credit,1999-01-01,2023-07-01,2024-03-05 03:59:46.377720
TBIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Trade balance,2008-01-01,2024-01-01,2024-03-21 06:14:22.301853
RGDPPCIT,IT,Italy,Y,VOLUME,Period level,Units,Eurostat,Real GDP per capita,1995-01-01,2023-01-01,2024-03-30 05:35:15.125226
RPRCIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real private consumption,1996-01-01,2023-10-01,2024-03-07 05:51:14.942687
RPUCIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real public consumption,1996-01-01,2023-10-01,2024-03-07 05:51:06.447981
RCONIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real total consumption,1996-01-01,2023-10-01,2024-03-07 05:52:29.723978
RGCFIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross capital formation,1996-01-01,2023-10-01,2024-03-07 05:52:23.774057
RGFCFIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real gross fixed capital formation,1996-01-01,2023-10-01,2024-03-07 05:50:57.957314
REXPIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real exports of goods and services,1996-01-01,2023-10-01,2024-03-07 05:50:41.107088
RIMPIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,Real imports of goods and services,1996-01-01,2023-10-01,2024-03-07 05:50:49.500992
NYIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Net income from abroad (Primary Income),2008-01-01,2024-01-01,2024-03-21 06:14:22.788684
NCTIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Net current transfers (Secondary Income),2008-01-01,2024-01-01,2024-03-21 06:14:23.171708
KAIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Capital account,2008-01-01,2024-01-01,2024-03-21 06:14:20.119086
CKAIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Net foreign investment,2008-01-01,2024-01-01,2024-03-21 06:14:20.973251
IIPAIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Assets,1998-10-01,2022-07-01,2023-01-11 13:00:29.619003
IIPLIT,IT,Italy,Q,DOMESTIC,Period level,Milions,Eurostat,International investment position: Liabilities,1998-10-01,2022-07-01,2023-01-11 13:00:29.793408
CLIIT,IT,Italy,M,INDEX,Period level,Units,OECD,OECD CLI,1960-02-01,2023-12-01,2024-01-13 00:40:35.989440
EXPMONIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Monthly exports,2008-01-01,2024-01-01,2024-03-21 06:14:21.453210
IMPMONIT,IT,Italy,M,DOMESTIC,Period level,Milions,Eurostat,Monthly imports,2008-01-01,2024-01-01,2024-03-21 06:14:21.834054
OILDEMIT,IT,Italy,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil demand,2002-01-01,2024-01-01,2024-03-18 15:43:07.886419
GASOPRODIT,IT,Italy,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline production,2002-01-01,2024-01-01,2024-03-18 15:43:48.469750
GASODEMIT,IT,Italy,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Gasoline demand,2002-01-01,2024-01-01,2024-03-18 15:44:32.986290
GASPRODIT,IT,Italy,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas production,2010-01-01,2024-01-01,2024-03-18 15:15:55.607528
GASDEMIT,IT,Italy,M,CUBIC METERS,Period level,Milions,Joint Organisations Data Initiative,Gas demand,2010-01-01,2024-01-01,2024-03-18 15:15:55.279475
ACPOPIT,IT,Italy,Q,PERSONS,Period level,Thousands,Eurostat,Active population,2009-01-01,2023-07-01,2023-12-15 05:35:45.419976
COREIT,IT,Italy,M,INDEX,Period level,Units,Eurostat,Core consumer price index,1999-12-01,2024-03-01,2024-04-03 09:49:27.377984
GDPMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Gross domestic product,1993-01-01,2023-10-01,2024-02-24 06:15:04.182682
PRCMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Private consumption,1993-01-01,2023-01-01,2023-06-22 06:15:51.557263
PUCMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Public consumption,1993-01-01,2023-01-01,2023-06-22 06:15:51.800085
CONMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Total consumption,1993-01-01,2023-01-01,2023-06-22 06:15:51.257069
GFCFMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Gross fixed capital formation,1993-01-01,2023-01-01,2023-06-22 06:15:52.119763
CIMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Change in inventories,1993-01-01,2023-01-01,2023-06-22 06:15:52.579790
RGDPMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,INEGI,Real gross domestic product,1991-01-01,2023-10-01,2024-02-25 18:56:41.213874
CPIMX,MX,Mexico,M,INDEX,Period level,Units,Banco de México,Consumer price index,1968-01-01,2024-03-01,2024-03-23 06:15:04.424372
PPIMX,MX,Mexico,M,INDEX,Period level,Units,INEGI,Producer price index,1994-01-01,2024-02-01,2024-03-08 06:15:04.293627
GBALMX,MX,Mexico,M,DOMESTIC,Cumulative for year (Year to date),Milions,Banco de México,Government balance,1977-01-01,2024-02-01,2024-03-28 06:17:25.654917
GSPEMX,MX,Mexico,M,DOMESTIC,Cumulative for year (Year to date),Milions,Banco de México,General government total expenditure,1977-01-01,2024-02-01,2024-03-28 06:17:26.840808
GREVMX,MX,Mexico,M,DOMESTIC,Cumulative for year (Year to date),Milions,Banco de México,General government total revenue,1977-01-01,2024-02-01,2024-03-28 06:17:28.068012
GDEBTMX,MX,Mexico,M,DOMESTIC,Period level,Billions,Banco de México,Government debt,1980-01-01,2024-01-01,2024-03-24 06:16:13.143987
URATEMX,MX,Mexico,M,PERCENT,Period level,Units,INEGI,Unemployment,2005-01-01,2024-02-01,2024-03-28 06:15:03.804737
WAGEMANMX,MX,Mexico,M,,Period level,,INEGI,Hourly wage manufacturing,2007-01-01,2019-02-01,2019-07-14 19:20:39.474599
EMPMX,MX,Mexico,Q,PERSONS,Period level,Units,INEGI,Total employment,2005-01-01,2023-10-01,2024-02-26 19:13:55.729727
RETAMX,MX,Mexico,M,INDEX,Period level,Units,INEGI,Retail trade,1993-01-01,2024-01-01,2024-04-04 06:30:18.429906
IPMX,MX,Mexico,M,INDEX,Period level,Units,Banco de México,Industrial production,1993-01-01,2024-01-01,2024-03-13 06:15:03.975603
CPMX,MX,Mexico,M,DOMESTIC,Period level,Thousands,INEGI,Construction production,2006-01-01,2023-03-01,2023-05-23 06:30:28.843638
CONFMX,MX,Mexico,M,INDEX,Period level,Units,INEGI,Consumer confidence index,2001-04-01,2024-03-01,2024-04-05 06:30:22.315848
OILPRODMX,MX,Mexico,M,BARRELS PER DAY,Period level,Thousands,Joint Organisations Data Initiative,Oil production,2002-01-01,2023-12-01,2024-03-18 15:42:11.693409
EXPMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Exports of goods and services,1993-01-01,2023-01-01,2023-06-22 06:15:52.346864
IMPMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Imports of goods and services,1993-01-01,2023-01-01,2023-06-22 06:15:51.020689
CAMX,MX,Mexico,Q,USD,Period level,Milions,Banco de México,Current account balance,2002-01-01,2023-10-01,2024-02-24 06:17:16.403127
POPMX,MX,Mexico,Y,PERSONS,Period level,Units,World Bank,Population,1960-01-01,2022-01-01,2024-02-04 01:07:42.625233
HOUMX,MX,Mexico,Q,INDEX,Period level,Units,Bank for International Settlements,House price,2005-01-01,2023-07-01,2024-01-27 04:24:01.292758
NIIPMX,MX,Mexico,Q,USD,Period level,Milions,Banco de México,Net international investment position,2009-01-01,2023-10-01,2024-03-23 06:17:16.418184
NPLMX,MX,Mexico,Q,PERCENT,Period level,Units,International Monetary Fund,Non performing loans,2005-01-01,2020-01-01,2020-05-12 22:15:17.751315
Y10YDMX,MX,Mexico,M,PERCENT,Period level,Units,Banco de México,Long term yield,1999-01-01,2024-03-01,2024-03-28 06:18:07.874916
M3YDMX,MX,Mexico,M,PERCENT,Period level,Units,Banco de México,3 month yield,1968-01-01,2024-03-01,2024-03-28 06:18:09.101911
POLIRMX,MX,Mexico,D,PERCENT,Period level,Units,Banco de México,Policy rate - short term,2008-01-21,2024-04-08,2024-04-08 06:15:40.832602
SEIMX,MX,Mexico,M,INDEX,Period level,Units,International Monetary Fund,Stock exchange index,1970-01-01,2019-02-01,2019-10-30 02:13:16.515422
REERMX,MX,Mexico,M,INDEX,Period level,Units,Bank for International Settlements,Real effective exchange rate,1994-01-01,2024-02-01,2024-03-21 04:13:51.729967
M3MX,MX,Mexico,M,DOMESTIC,Period level,Thousands,Banco de México,Money supply,2000-12-01,2024-02-01,2024-03-28 06:17:17.314756
CREDMX,MX,Mexico,Q,DOMESTIC,Period level,Billions,Bank for International Settlements,Domestic credit,1990-10-01,2023-07-01,2024-03-05 03:59:47.977235
TBMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Trade balance,2002-01-01,2023-10-01,2024-02-24 06:17:23.935454
RPRCMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Real private consumption,1993-01-01,2023-01-01,2023-06-22 06:15:53.669703
RPUCMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Real public consumption,1993-01-01,2023-01-01,2023-06-22 06:15:53.891422
RCONMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Real total consumption,1993-01-01,2023-01-01,2023-06-22 06:15:53.449875
RGFCFMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Real gross fixed capital formation,1993-01-01,2023-01-01,2023-06-22 06:15:54.219910
IBD1MX,MX,Mexico,D,PERCENT,Period level,Units,Banco de México,Interbank lending overnight rate,2006-01-02,2024-04-05,2024-04-06 06:15:29.560979
REXPMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Real exports of goods and services,1993-01-01,2023-01-01,2023-06-22 06:15:54.449449
RIMPMX,MX,Mexico,Q,DOMESTIC,Period level,Milions,Banco de México,Real imports of goods and services,1993-01-01,2023-01-01,2023-06-22 06:15:53.123648
